jeu_id;jeu_nom;jeu_genre;jeu_annee;jeu_plateforme;jeu_editeur;jeu_notejvc;jeu_commentaire;jeu_image;_dev_id
1;Rayman 2 : The Great Escape;Aventure;1999;Multi-plateformes;Ubisoft;17;Mon tout premier jeu vidéo, un classique de la plateforme 3D.;images/rayman2.jpg;1
2;Adibou 2;Éducatif;1996;PC;Coktel Vision;17;Un jeu qui aura marqué toute une génération, un CD-Rom que nos parents nous ont tous offert.;images/adibou2.jpg;2
3;Rayman 3 : Hoodlum Havoc;Aventure;2003;Multi-plateformes;Ubisoft;18;La suite de mon jeu préféré, encore plus drôle, plus décalé, plus inventif que son prédécesseur.;images/rayman3.jpg;1
4;Les Sims 2 (DS);Simulation;2005;Simulation;Electronics Arts;14;Une version étrange, décalée, pas forcément réussie mais définitivement marquante du deuxième opus de la célèbre licence.;images/sims2.jpg;3
5;Pokémon Rouge Feu;RPG;2004;Game Boy Advance;Nintendo;15;Le premier pokémon sur lequel j'ai mis les mains et qui aura défini mon amour pour la licence.;images/rougefeu.jpg;4
6;Pokémon Platine;RPG;2009;Nintendo DS;Nintendo;16;Ma version préférée, la nostalgie d'une époque où mon seul problème dans la vie était d'attraper mes légendaires sans utiliser ma Master Ball.;images/platine.jpg;4
7;Harry Potter et l'Ordre du Phénix;Aventure;2007;Nintendo DS;Electronics Arts;11;Un véritable échec sur lequel j'aurais quand même passé un peu trop d'heures.;images/hp5.jpg;5
8;Animal Crossing : Wild World;Simulation;2005;Nintendo DS;Nintendo;16;Des heures et des heures passées à discuter avec les habitants et à vendre des pommes à ce cher Tom Nook.;images/wildworld.jpg;6
9;Animal Crossing : New Leaf;Simulation;2013;Nintendo DS;Nintendo;17;Acheté le jour de sa sortie, après des révisions pour le brevet. La nostalgie, la vraie.;images/newleaf.jpg;6
10;Radiant Historia ;RPG;2011;Nintendo DS;Altus;17;Un véritable bijou, un trésor inconnu du grand public, à l'écriture complexe et passionnante et à la bande-son envoûtante.;images/radiant.jpg;7
11;The Binding of Isaac : Rebirth;Rogue-like;2014;PC;Nicalis;17;Un classique, un fondateur du genre, un incontournable du jeu vidéo. ;images/isaac.jpg;8
12;Griftlands;Deck-building;2020;PC;Klei Entertainment;17;Rapidement devenu un de mes jeux vidéos préférés, Griftlands est une véritable surprise sur la scène du jeu vidéo indépendant. Mon coup de cœur de ces dernières années.;images/griftlands.jpg;9
13;Dead Cells;Rogue-like;2018;PC;Motion-Twin;18;A peine sorti, Dead Cells est devenu un classique du Rogue-lite et une véritable leçon pour les concepteurs de jeux de plateforme.;images/deadcells.jpg;10
14;Divinity : Original Sin Enhanced Edition;RPG;2015;PC;Larian Studios;19;Un RPG occidental devenu une référence. Plus d'une centaine d'heure en co-op, un vrai régal.;images/divinity.jpg;11
15;Divinity : Original Sin 2;RPG;2017;PC;Larian Studios;19;Le meilleur du genre. Classé top 1 sur la plupart des sites, DOS 2 risque de rester en haut des classements pour de longues années.;images/divinity2.jpg;11
16;Slay The Spire;Deck-building;2019;PC;MegaCrit;17;Inventeur du genre du rogue-lite deck-building, StS a inspiré un nombre considérable de jeux, tous basés sur son modèle.;images/sts.jpg;12
17;Game Of Thrones : Le Trône de Fer;RPG;2012;PC;Focus;12;Un jeu réservé aux fans, qui se plairont à retrouver leur univers préféré, sans quoi le gameplay approximatif risque de se faire remarquer.;images/got.jpg;13
